序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
1725,接收,352.9961,00000101 H,标准帧,数据帧,8,0C CD 2B 32 3C CD 33 37 ,
1726,接收,352.9963,00000101 H,标准帧,数据帧,8,10 CA 63 25 9C A5 F2 B9 ,
1727,接收,352.9965,00000101 H,标准帧,数据帧,8,14 CA 83 2A BC AD 32 A8 ,
1728,接收,352.9968,00000101 H,标准帧,数据帧,8,18 CA AF 2B 0C AA F2 92 ,
1729,接收,352.9970,00000101 H,标准帧,数据帧,8,1C CA 8F 26 EC AC B2 92 ,
1730,接收,352.9972,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 14 ,
1731,接收,352.9975,00000102 H,标准帧,数据帧,8,04 CC CB 32 4C CE B3 47 ,
1732,接收,352.9977,00000102 H,标准帧,数据帧,8,08 CC 93 33 3C CD 33 32 ,
1733,接收,352.9979,00000102 H,标准帧,数据帧,8,0C CD 0F 33 4C CB 73 30 ,
1734,接收,352.9982,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AB B2 94 ,
1735,接收,352.9984,00000102 H,标准帧,数据帧,8,14 CA 3B 28 BC AC B2 90 ,
1736,接收,352.9986,00000102 H,标准帧,数据帧,8,18 CA B3 2A 0C A7 B2 AF ,
